container,expected,predicted,score,correct,adversarial,expected_failure,trigger_rule
zombie-memory-leak,zombie,zombie,89.99,True,False,,
adversarial-jvm-warmup,normal,zombie,81.4,False,True,false_positive,rule2_memory_leak
zombie-network-timeout,zombie,zombie,79.58,True,False,,
zombie-resource-imbalance,zombie,zombie,74.98,True,False,,
adversarial-cron-hourly,normal,zombie,68.2,False,True,false_positive,rule1_low_cpu
zombie-low-cpu,zombie,zombie,65.0,True,False,,
zombie-stuck-process,zombie,potential_zombie,59.64,True,False,,
adversarial-cold-standby,normal,potential_zombie,41.5,False,True,false_positive,rule4_network_timeout
normal-batch,normal,normal,26.85,True,False,,
adversarial-low-traffic-api,normal,normal,22.4,True,True,false_positive,rule4_network_timeout
adversarial-stealth-zombie,zombie,normal,8.3,False,True,false_negative,rule1_low_cpu
normal-web,normal,normal,0.0,True,False,,
